Size: 605
person) 240 (0.397)
people) 202 (0.334)
character) 200 (0.331)
know) 172 (0.284)
man) 155 (0.256)
always) 145 (0.240)
give) 138 (0.228)
life) 119 (0.197)
good) 111 (0.183)
choose) 103 (0.170)
even) 96 (0.159)
way) 92 (0.152)
think) 86 (0.142)
help) 82 (0.136)
thing) 82 (0.136)
quality) 81 (0.134)
believe) 79 (0.131)
love) 76 (0.126)
also) 75 (0.124)
take) 74 (0.122)
go) 74 (0.122)
care) 72 (0.119)
time) 71 (0.117)
positive) 68 (0.112)
work) 66 (0.109)
leader) 66 (0.109)
opinion) 65 (0.107)
lot) 64 (0.106)
see) 64 (0.106)
value) 63 (0.104)
make) 63 (0.104)
lead) 60 (0.099)
great) 60 (0.099)
other) 58 (0.096)
commander) 54 (0.089)
strong) 52 (0.086)
figure) 51 (0.084)
learn) 49 (0.081)
country) 48 (0.079)
soldier) 48 (0.079)
want) 47 (0.078)
ability) 45 (0.074)
character_trait) 43 (0.071)
important) 42 (0.069)
come) 42 (0.069)
high) 42 (0.069)
friend) 41 (0.068)
family) 41 (0.068)
look) 39 (0.064)
humble) 39 (0.064)
well) 35 (0.058)
fight) 34 (0.056)
end) 33 (0.055)
much) 33 (0.055)
get) 33 (0.055)
many) 33 (0.055)
charismatic) 32 (0.053)
place) 31 (0.051)
live) 30 (0.050)
say) 30 (0.050)
need) 29 (0.048)
change) 29 (0.048)
difficult) 29 (0.048)
smart) 29 (0.048)
strive) 28 (0.046)
desire) 28 (0.046)
goal) 27 (0.045)
situation) 27 (0.045)
understand) 27 (0.045)
right) 26 (0.043)
try) 26 (0.043)
really) 26 (0.043)
world) 25 (0.041)
study) 25 (0.041)
contribute) 25 (0.041)
trait) 25 (0.041)
manage) 25 (0.041)
invest) 25 (0.041)
year) 24 (0.040)
environment) 24 (0.040)
succeed) 24 (0.040)
war) 24 (0.040)
child) 24 (0.040)
show) 24 (0.040)
eye) 24 (0.040)
army) 23 (0.038)
afraid) 23 (0.038)
seem) 23 (0.038)
late) 23 (0.038)
stand) 22 (0.036)
achieve) 22 (0.036)
menachem_begin) 22 (0.036)
warrior) 22 (0.036)
professional) 22 (0.036)
addition) 22 (0.036)
personal) 22 (0.036)
appreciate) 22 (0.036)
grandfather) 22 (0.036)
willing) 21 (0.035)
story) 21 (0.035)
book) 21 (0.035)
responsible) 21 (0.035)
first) 21 (0.035)
respect) 21 (0.035)
example) 21 (0.035)
accord) 20 (0.033)
hand) 20 (0.033)
act) 20 (0.033)
state) 20 (0.033)
sacrifice) 20 (0.033)
