,,Parent,G.Parent,Sibling,Aunt/Uncle,Teacher,Commander,Friend,Spouse,,,Parental,Mentor,Friend,Total,,,,Parental,Mentor,Friend
611,F-F,174,41,27,16,24,50,117,0,,F-F,231,74,144,449,,,F-F,51.44766147,16.48106904,32.07126949
1144,F-M,95,48,23,13,39,48,65,1,,F-M,156,87,89,332,,,F-M,46.98795181,26.20481928,26.80722892
89,M-F,73,21,10,7,11,13,14,2,,M-F,101,24,26,151,,,M-F,66.88741722,15.89403974,17.21854305
2943,M-M,177,109,40,21,82,146,142,0,,M-M,307,228,182,717,,,M-M,42.81729428,31.79916318,25.38354254
